School_Name,School_ID,CHESTO4_1,BPSHE33
Lyndon K-8 School,4331,1,1.0
Hurley K-8 School,4260,1,1.0
Boston Arts Academy,1420,1,1.0
Quincy Upper School,1450,1,1.0
TechBoston Academy 6-12,1460,1,1.0
Timilty Middle School,2040,1,1.0
McCormack Middle School,2190,1,1.0
Kilmer K-8 School,4033,1,1.0
Gardner Pilot Academy,4160,1,1.0
Edison K-8 School,4178,1,1.0
Curley K-8 School,4272,1,1.0
Community Academy,1340,1,1.0
Warren/Prescott K-8 School,4283,1,1.0
Umana Academy,4323,1,1.0
McKay K-8 School,4360,1,1.0
Eliot K-8 Innovation School,4381,1,1.0
Ohrenberger School,4410,1,1.0
Tobin K-8 School,4570,1,1.0
Trotter K-8 School,4580,1,1.0
Jackson/Mann K-8 School,4620,1,1.0
Boston Day/Evening Academy,1410,1,1.0
Boston Collaborative High School,1311,1,1.0
Guild Elementary,4061,1,1.0
Excel High School,1162,1,1.0
Boston Latin Academy,1020,1,1.0
O'Bryant School of Math & Science,1030,1,1.0
Brighton High School,1040,1,1.0
Charlestown High School,1050,1,1.0
Dorchester Academy,1064,1,1.0
Community Academy of Science and Health,1103,1,1.0
Burke High School,1120,1,1.0
Henderson Inclusion School K-12,1140,1,1.0
Lyon High School,1171,1,1.0
McKinley Prep High School,1293,1,1.0
Boston Community Leadership Academy,1195,1,1.0
Boston Adult Tech Acad,1215,1,1.0
Another Course to College,1230,1,1.0
Urban Science Academy,1253,1,1.0
West Roxbury Academy,1256,1,1.0
Fenway High School,1265,1,1.0
New Mission High School,1285,1,1.0
McKinley Middle,1292,1,1.0
Boston Teachers Union K-8 Pilot,4661,1,1.0
Boston Latin School,1010,1,1.0
Quincy Elementary,4650,1,1.0
Kenny Elementary,4390,1,1.0
Baldwin Early Learning Pilot Academy,4621,1,1.0
Bradley Elementary,4062,1,1.0
West Zone Early Learning Center,4231,1,1.0
Ellis Elementary,4240,1,1.0
Manning Elementary,4311,1,1.0
O'Donnell Elementary,4543,1,1.0
Kennedy Patrick J. Elementary,4541,1,1.0
Winthrop Elementary,4052,0,2.0
Harvard/Kent Elementary,4280,0,2.0
"Alighieri, Dante Montessori",4321,0,2.0
Lee Academy,4291,0,2.0
ABCD University,1315,0,
UP Academy Holland,4250,0,2.0
Kennedy John F Elementary,4270,0,2.0
Adams Elementary,4361,0,2.0
Greater Egleston High School,1430,0,2.0
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,0,2.0
Higginson K-2,4241,0,2.0
Boston Green Academy,1470,0,2.0
Boston International/ Newcomers Academy,1990,0,2.0
Otis Elementary,4322,0,2.0
Ellison/Parks Early Education School,4440,0,2.0
Dearborn 6-12 STEM Academy,1260,0,2.0
Mendell Elementary,4370,0,2.0
East Boston Early Education Center,4450,0,2.0
Madison Park Technical Vocational High,1210,0,
Snowden International High School,1200,0,2.0
Haynes Early Education Center,4460,0,2.0
Russell Elementary,4530,0,2.0
Clap Innovation School,4531,0,2.0
Sumner Elementary,4560,0,2.0
English High School,1080,0,2.0
East Boston High School,1070,0,2.0
Philbrick Elementary,4561,0,2.0
Muniz Academy,1053,0,2.0
Tynan Elementary,4590,0,2.0
Blackstone Innovation School,4640,0,2.0
Edwards Middle School,2010,0,2.0
Irving Middle School,2140,0,2.0
Beethoven Elementary,4030,0,2.0
Conley Elementary,4080,0,2.0
Shaw Elementary,4670,0,2.0
UP Academy Dorchester,4345,0,2.0
Dever Elementary,4100,0,
Holmes Elementary,4084,0,2.0
Murphy K-8 School,4400,0,2.0
Mozart Elementary,4082,0,2.0
Bates Elementary,4081,0,2.0
Perry K-8 School,4592,0,
Lee K-8 School,4290,0,2.0
Young Achievers K-8 School,4600,0,2.0
Horace Mann School for the Deaf Hard of Hearing,4610,0,2.0
Chittick Elementary,4070,0,2.0
Condon K-8,4630,0,2.0
Mildred Avenue K-8 School,4671,0,2.0
Orchard Gardens K-8 School,4680,0,2.0
Perkins Elementary,4022,0,2.0
Hale Elementary,4113,0,2.0
Mission Hill K-8 School,4285,0,2.0
Channing Elementary,4201,0,2.0
Lyon K-8 School,4171,0,2.0
Frederick Pilot Middle School,2360,0,2.0
UP Academy Boston,2450,0,2.0
Grew Elementary,4200,0,2.0
Hernandez K-8,4053,0,2.0
King K-8 School,4055,0,2.0
Greenwood Sarah K-8 School,4130,0,2.0
Winship Elementary,4173,0,2.0
Taylor Elementary,4151,0,2.0
Mason Elementary,4121,0,2.0
Roosevelt K-8 School,4192,0,2.0
Haley Pilot School,4210,0,2.0
Hennigan K-8 School,4230,0,2.0
Higginson/Lewis K-8,4242,0,2.0
Everett Elementary,4140,0,2.0
Carter School,4261,0,2.0
Dudley Street Neighborhood Charter,4123,0,
Mattapan EES,4691,0,2.0
