School_Name,School_ID,AR_Type,CHEIMO1_2,BPSHE32_8,BPSHE32_9,BPSHE32_10
Ostiguy Recovery School,1320.0,Alt,0,,,
Greater Egleston High School,1430.0,9-12,0, , , 
Dudley Street Neighborhood Charter,4123.0,K-5,0,,,
East Boston Early Education Center,4450.0,K-5,0,,,
East Boston High School,1070.0,9-12,0,3,3,3
Edison K-8 School,4178.0,K-8,0,2,2,2
Edwards Middle School,2010.0,6-8,0,3,3,3
Eliot K-8 Innovation School,4381.0,K-8,0,2,2,2
Ellis Elementary,4240.0,K-5,0,,,
Ellison/Parks Early Education School,4440.0,K-5,0,,,
English High School,1080.0,9-12,0,3,3,3
Everett Elementary,4140.0,K-5,0,,,
Excel High School,1162.0,9-12,0, , , 
Fenway High School,1265.0,9-12,0,3,3,3
Frederick Pilot Middle School,2360.0,6-8,0,2,2,2
Gardner Pilot Academy,4160.0,K-8,0,1,1,1
Greenwood Sarah K-8 School,4130.0,K-8,0,2,2,2
EDCO Youth,1330.0,Alt,0,,,
Grew Elementary,4200.0,K-5,0,,,
Guild Elementary,4061.0,K-5,0,,,
Hale Elementary,4113.0,K-5,0,,,
Haley Pilot School,4210.0,K-8,0,1,1,1
Harvard/Kent Elementary,4280.0,K-5,0,,,
Haynes Early Education Center,4460.0,K-5,0,,,
Henderson Inclusion School K-12,1140.0,K-12,0,1,1,1
Hennigan K-8 School,4230.0,K-8,0,2,2,2
Hernandez K-8,4053.0,K-8,0,2,2,2
Higginson K-2,4241.0,K-5,0,,,
Higginson/Lewis K-8,4242.0,K-8,0,2,2,2
Holmes Elementary,4084.0,K-5,0,,,
Horace Mann School for the Deaf Hard of Hearing,4610.0,Alt,0,2,2,2
Hurley K-8 School,4260.0,K-8,0,2,2,2
Dorchester Academy,1064.0,9-12,0,3,3,3
Dever Elementary,4100.0,K-5,0,,,
Dearborn 6-12 STEM Academy,1260.0,6-12,0,2,2,2
Curley K-8 School,4272.0,K-8,0,1,1,1
Adams Elementary,4361.0,K-5,0,,,
"Alighieri, Dante Montessori",4321.0,K-8,0,,,
Another Course to College,1230.0,9-12,0, , , 
Baldwin Early Learning Pilot Academy,4621.0,K-5,0,,,
Bates Elementary,4081.0,K-5,0,,,
Beethoven Elementary,4030.0,K-5,0,,,
Blackstone Innovation School,4640.0,K-5,0,,,
Boston Adult Tech Acad,1215.0,Alt,0,3,3,3
Boston Arts Academy,1420.0,9-12,0,3,3,3
Boston Collaborative High School,1311.0,Alt,0,3,3,3
Boston Community Leadership Academy,1195.0,9-12,0,3,3,3
Boston Day/Evening Academy,1410.0,9-12,0,3,3,3
Boston Green Academy,1470.0,6-12,0,1,1,1
Boston International/ Newcomers Academy,1990.0,9-12,0,3,3,3
Boston Latin Academy,1020.0,6-12,0, ,1,1
Boston Latin School,1010.0,6-12,0,3, , 
Boston Teachers Union K-8 Pilot,4661.0,K-8,0,2,2,2
Bradley Elementary,4062.0,K-5,0,,,
Brighton High School,1040.0,9-12,0,3,3,3
Burke High School,1120.0,9-12,0, , , 
Carter School,4261.0,9-12,0,3,2,2
Channing Elementary,4201.0,K-5,0,,,
Charlestown High School,1050.0,9-12,0,3,3,3
Chittick Elementary,4070.0,K-5,0,,,
Clap Innovation School,4531.0,K-5,0,,,
Community Academy,1340.0,9-12,0,3,3,3
Community Academy of Science and Health,1103.0,9-12,0,3,3,3
Condon K-8,4630.0,K-8,0,2,2,2
Conley Elementary,4080.0,K-5,0,,,
Irving Middle School,2140.0,6-8,0, , , 
Jackson/Mann K-8 School,4620.0,K-8,0,2,2,2
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440.0,9-12,0,3,3,3
Otis Elementary,4322.0,K-5,0,,,
Perry K-8 School,4592.0,K-8,0, , , 
Philbrick Elementary,4561.0,K-5,0,,,
Quincy Elementary,4650.0,K-5,0,,,
Quincy Upper School,1450.0,6-12,0,2,2,2
Roosevelt K-8 School,4192.0,K-8,0,2,2,2
Russell Elementary,4530.0,K-5,0,,,
Succeed Boston,,Alt,0,,,
Shaw Elementary,4670.0,K-5,0,,,
Snowden International High School,1200.0,9-12,0,3,3,3
Sumner Elementary,4560.0,K-5,0,,,
Taylor Elementary,4151.0,K-5,0,,,
TechBoston Academy 6-12,1460.0,6-12,0,2,2,2
Timilty Middle School,2040.0,6-8,0,2,2,2
Tobin K-8 School,4570.0,K-8,0,2,2,2
Trotter K-8 School,4580.0,K-8,0,2,2,2
Tynan Elementary,4590.0,K-5,0,,,
Umana Academy,4323.0,K-8,0,2,2,2
UP Academy Boston,2450.0,6-8,0,2,2,2
UP Academy Dorchester,4345.0,K-8,0,2,2,2
UP Academy Holland,4250.0,K-5,0,,,
Urban Science Academy,1253.0,9-12,0,3,3,3
Warren/Prescott K-8 School,4283.0,K-8,0,2,2,2
West Roxbury Academy,1256.0,9-12,0,3,3,3
West Zone Early Learning Center,4231.0,K-5,0,,,
Winship Elementary,4173.0,K-5,0,,,
Winthrop Elementary,4052.0,K-5,0,,,
Young Achievers K-8 School,4600.0,K-8,0,1,1,1
St. Mary's Alt. School,1370.0,Alt,0,,,
College Bound Middle School,1365.0,Alt,0,,,
Perkins Elementary,4022.0,K-5,0,,,
Orchard Gardens K-8 School,4680.0,K-8,0,3,3,3
Kennedy John F Elementary,4270.0,K-5,0,,,
Ohrenberger School,4410.0,K-8,0,2,2,2
Kennedy Patrick J. Elementary,4541.0,K-5,0,,,
Kenny Elementary,4390.0,K-5,0,,,
Kilmer K-8 School,4033.0,K-8,0, , , 
King K-8 School,4055.0,K-8,0,3,3,3
Lee Academy,4291.0,K-5,0,,,
Lee K-8 School,4290.0,K-8,0,2,2,2
Lyndon K-8 School,4331.0,K-8,0,2,2,2
Lyon High School,1171.0,9-12,0,2,2,2
Lyon K-8 School,4171.0,K-8,0, , , 
Madison Park Technical Vocational High,1210.0,9-12,0,,,
Manning Elementary,4311.0,K-5,0,,,
Mason Elementary,4121.0,K-5,0,,,
Mather Elementary,4350.0,K-5,0,,,
Mattapan EES,4691.0,K-5,0,,,
McCormack Middle School,2190.0,6-8,0,2,2,2
McKay K-8 School,4360.0,K-8,0,2,2,2
McKinley Elementary,1291.0,K-5,0,,,
McKinley Middle,1292.0,6-8,0,2,2,2
McKinley Prep High School,1293.0,9-12,0,3,3,3
McKinley So. End Acad,1294.0,6-12,0,,,
Mendell Elementary,4370.0,K-5,0,,,
Mildred Avenue K-8 School,4671.0,K-8,0,2,2,2
Mission Hill K-8 School,4285.0,K-8,0,2,2,2
Mozart Elementary,4082.0,K-5,0,,,
Muniz Academy,1053.0,9-12,0,3,3,3
Murphy K-8 School,4400.0,K-8,0,1,1,1
New Mission High School,1285.0,9-12,0,3,2,3
O'Bryant School of Math & Science,1030.0,6-12,0,3,3,3
O'Donnell Elementary,4543.0,K-5,0,,,
ABCD University,1315.0,Alt,0,,,
